page,subject,pathway,tier,block,rule,severity,evidence
biology/inheritance/inherited-disorders,biology,triple,higher,quiz,1-register,minor,0/2 stems use an AQA command word (AI review)
chemistry/analysis/chromatography,chemistry,triple,higher,quiz,1-count,critical,2 questions — below absolute floor of 5
chemistry/analysis/chromatography,chemistry,triple,higher,fifa,2-example-count,major,1 worked example(s) — minimum 3
chemistry/analysis/chromatography,chemistry,triple,higher,fifa,2-practice-absent,major,no interactive practice mode (systemic: current template renders static steps only)
chemistry/analysis/chromatography,chemistry,triple,higher,common_mistake,3-mistake-first,major,"first sentence states info, not a student mistake (AI review): ""Rf values are ALWAYS between 0 and 1."""
chemistry/analysis/chromatography,chemistry,triple,higher,fifa,2-tier-duplication,major,FIFA block identical to Foundation variant — fake differentiation
chemistry/analysis/chromatography,chemistry,triple,higher,quiz,5-tier-integrity,major,"Test Yourself identical to Foundation variant — same page, harder badge"
chemistry/analysis/chromatography,chemistry,triple,higher,quiz,1-triple-depth,major,Test Yourself identical to Combined higher — no Triple-only depth questions (rule 1 asks for ≥2)
chemistry/analysis/chromatography,chemistry,triple,higher,quiz,1-register,minor,0/2 stems use an AQA command word (AI review)
chemistry/atomic-structure/mixtures,chemistry,triple,higher,quiz,1-count,critical,3 questions — below absolute floor of 5
chemistry/atomic-structure/mixtures,chemistry,triple,higher,fifa,2-example-count,major,1 worked example(s) — minimum 3
chemistry/atomic-structure/mixtures,chemistry,triple,higher,fifa,2-practice-absent,major,no interactive practice mode (systemic: current template renders static steps only)
chemistry/atomic-structure/mixtures,chemistry,triple,higher,common_mistake,3-mistake-first,major,"first sentence states info, not a student mistake (AI review): ""Filtration only removes INSOLUBLE solids."""
chemistry/atomic-structure/mixtures,chemistry,triple,higher,fifa,2-tier-duplication,major,FIFA block identical to Foundation variant — fake differentiation
chemistry/atomic-structure/mixtures,chemistry,triple,higher,quiz,5-tier-integrity,major,"Test Yourself identical to Foundation variant — same page, harder badge"
chemistry/atomic-structure/mixtures,chemistry,triple,higher,quiz,1-triple-depth,major,Test Yourself identical to Combined higher — no Triple-only depth questions (rule 1 asks for ≥2)
chemistry/atomic-structure/mixtures,chemistry,triple,higher,quiz,1-register,minor,0/3 stems use an AQA command word (AI review)
chemistry/atomic-structure/relative-atomic-mass,chemistry,triple,higher,quiz,1-count,critical,2 questions — below absolute floor of 5
chemistry/atomic-structure/relative-atomic-mass,chemistry,triple,higher,fifa,2-example-count,major,1 worked example(s) — minimum 3
chemistry/atomic-structure/relative-atomic-mass,chemistry,triple,higher,fifa,2-practice-absent,major,no interactive practice mode (systemic: current template renders static steps only)
chemistry/atomic-structure/relative-atomic-mass,chemistry,triple,higher,common_mistake,3-mistake-first,major,"first sentence states info, not a student mistake (AI review): ""Ar is a WEIGHTED average — not a simple average."""
chemistry/atomic-structure/relative-atomic-mass,chemistry,triple,higher,fifa,2-tier-duplication,major,FIFA block identical to Foundation variant — fake differentiation
chemistry/atomic-structure/relative-atomic-mass,chemistry,triple,higher,quiz,5-tier-integrity,major,"Test Yourself identical to Foundation variant — same page, harder badge"
chemistry/atomic-structure/relative-atomic-mass,chemistry,triple,higher,quiz,1-triple-depth,major,Test Yourself identical to Combined higher — no Triple-only depth questions (rule 1 asks for ≥2)
chemistry/atomic-structure/relative-atomic-mass,chemistry,triple,higher,quiz,1-register,minor,0/2 stems use an AQA command word (AI review)
chemistry/energy-changes/exothermic-endothermic,chemistry,triple,higher,quiz,1-count,critical,2 questions — below absolute floor of 5
chemistry/energy-changes/exothermic-endothermic,chemistry,triple,higher,fifa,2-example-count,major,1 worked example(s) — minimum 3
chemistry/energy-changes/exothermic-endothermic,chemistry,triple,higher,fifa,2-practice-absent,major,no interactive practice mode (systemic: current template renders static steps only)
chemistry/energy-changes/exothermic-endothermic,chemistry,triple,higher,common_mistake,3-mistake-first,major,"first sentence states info, not a student mistake (AI review): ""EXOTHERMIC reactions make the surroundings HOTTER (temperature rises)."""
chemistry/energy-changes/exothermic-endothermic,chemistry,triple,higher,fifa,2-tier-duplication,major,FIFA block identical to Foundation variant — fake differentiation
chemistry/energy-changes/exothermic-endothermic,chemistry,triple,higher,quiz,5-tier-integrity,major,"Test Yourself identical to Foundation variant — same page, harder badge"
chemistry/energy-changes/exothermic-endothermic,chemistry,triple,higher,quiz,1-triple-depth,major,Test Yourself identical to Combined higher — no Triple-only depth questions (rule 1 asks for ≥2)
chemistry/energy-changes/exothermic-endothermic,chemistry,triple,higher,quiz,1-register,minor,0/2 stems use an AQA command word (AI review)
chemistry/quantitative/chemical-measurements,chemistry,triple,higher,quiz,1-count,critical,2 questions — below absolute floor of 5
chemistry/quantitative/chemical-measurements,chemistry,triple,higher,fifa,2-example-count,major,1 worked example(s) — minimum 3
chemistry/quantitative/chemical-measurements,chemistry,triple,higher,fifa,2-practice-absent,major,no interactive practice mode (systemic: current template renders static steps only)
chemistry/quantitative/chemical-measurements,chemistry,triple,higher,common_mistake,3-mistake-first,major,"first sentence states info, not a student mistake (AI review): ""Read the volume from the BOTTOM of the meniscus — not the top."""
chemistry/quantitative/chemical-measurements,chemistry,triple,higher,fifa,2-tier-duplication,major,FIFA block identical to Foundation variant — fake differentiation
chemistry/quantitative/chemical-measurements,chemistry,triple,higher,quiz,5-tier-integrity,major,"Test Yourself identical to Foundation variant — same page, harder badge"
chemistry/quantitative/chemical-measurements,chemistry,triple,higher,quiz,1-triple-depth,major,Test Yourself identical to Combined higher — no Triple-only depth questions (rule 1 asks for ≥2)
chemistry/quantitative/chemical-measurements,chemistry,triple,higher,quiz,1-register,minor,0/2 stems use an AQA command word (AI review)
chemistry/quantitative/concentration-of-solutions,chemistry,triple,higher,quiz,1-count,critical,2 questions — below absolute floor of 5
chemistry/quantitative/concentration-of-solutions,chemistry,triple,higher,fifa,2-example-count,major,1 worked example(s) — minimum 3
chemistry/quantitative/concentration-of-solutions,chemistry,triple,higher,fifa,2-practice-absent,major,no interactive practice mode (systemic: current template renders static steps only)
chemistry/quantitative/concentration-of-solutions,chemistry,triple,higher,common_mistake,3-mistake-first,major,"first sentence states info, not a student mistake (AI review): ""Volume MUST be in dm³ when using the concentration formula."""
chemistry/quantitative/concentration-of-solutions,chemistry,triple,higher,fifa,2-tier-duplication,major,FIFA block identical to Foundation variant — fake differentiation
chemistry/quantitative/concentration-of-solutions,chemistry,triple,higher,quiz,5-tier-integrity,major,"Test Yourself identical to Foundation variant — same page, harder badge"
chemistry/quantitative/concentration-of-solutions,chemistry,triple,higher,quiz,1-triple-depth,major,Test Yourself identical to Combined higher — no Triple-only depth questions (rule 1 asks for ≥2)
chemistry/quantitative/concentration-of-solutions,chemistry,triple,higher,quiz,1-register,minor,0/2 stems use an AQA command word (AI review)
chemistry/quantitative/mass-changes-reactions,chemistry,triple,higher,quiz,1-count,critical,2 questions — below absolute floor of 5
chemistry/quantitative/mass-changes-reactions,chemistry,triple,higher,fifa,2-example-count,major,1 worked example(s) — minimum 3
chemistry/quantitative/mass-changes-reactions,chemistry,triple,higher,fifa,2-practice-absent,major,no interactive practice mode (systemic: current template renders static steps only)
chemistry/quantitative/mass-changes-reactions,chemistry,triple,higher,common_mistake,3-mistake-first,major,"first sentence states info, not a student mistake (AI review): ""When a metal burns in air, the solid GAINS mass (oxygen is added from the air to form the """
chemistry/quantitative/mass-changes-reactions,chemistry,triple,higher,fifa,2-tier-duplication,major,FIFA block identical to Foundation variant — fake differentiation
chemistry/quantitative/mass-changes-reactions,chemistry,triple,higher,quiz,5-tier-integrity,major,"Test Yourself identical to Foundation variant — same page, harder badge"
chemistry/quantitative/mass-changes-reactions,chemistry,triple,higher,quiz,1-triple-depth,major,Test Yourself identical to Combined higher — no Triple-only depth questions (rule 1 asks for ≥2)
chemistry/quantitative/mass-changes-reactions,chemistry,triple,higher,quiz,1-register,minor,0/2 stems use an AQA command word (AI review)
chemistry/quantitative/relative-formula-mass,chemistry,triple,higher,quiz,1-count,critical,2 questions — below absolute floor of 5
chemistry/quantitative/relative-formula-mass,chemistry,triple,higher,fifa,2-example-count,major,1 worked example(s) — minimum 3
chemistry/quantitative/relative-formula-mass,chemistry,triple,higher,fifa,2-practice-absent,major,no interactive practice mode (systemic: current template renders static steps only)
chemistry/quantitative/relative-formula-mass,chemistry,triple,higher,common_mistake,3-mistake-first,major,"first sentence states info, not a student mistake (AI review): ""When a formula has BRACKETS with a subscript, MULTIPLY all atoms inside the bracket by the"""
chemistry/quantitative/relative-formula-mass,chemistry,triple,higher,fifa,2-tier-duplication,major,FIFA block identical to Foundation variant — fake differentiation
chemistry/quantitative/relative-formula-mass,chemistry,triple,higher,quiz,5-tier-integrity,major,"Test Yourself identical to Foundation variant — same page, harder badge"
chemistry/quantitative/relative-formula-mass,chemistry,triple,higher,quiz,1-triple-depth,major,Test Yourself identical to Combined higher — no Triple-only depth questions (rule 1 asks for ≥2)
chemistry/quantitative/relative-formula-mass,chemistry,triple,higher,quiz,1-register,minor,0/2 stems use an AQA command word (AI review)
chemistry/rates-equilibrium/calculating-rates,chemistry,triple,higher,quiz,1-count,critical,2 questions — below absolute floor of 5
chemistry/rates-equilibrium/calculating-rates,chemistry,triple,higher,fifa,2-example-count,major,1 worked example(s) — minimum 3
chemistry/rates-equilibrium/calculating-rates,chemistry,triple,higher,fifa,2-practice-absent,major,no interactive practice mode (systemic: current template renders static steps only)
chemistry/rates-equilibrium/calculating-rates,chemistry,triple,higher,common_mistake,3-mistake-first,major,"first sentence states info, not a student mistake (AI review): ""The rate DECREASES over time in a closed system as REACTANTS ARE USED UP — fewer reactant """
chemistry/rates-equilibrium/calculating-rates,chemistry,triple,higher,fifa,2-tier-duplication,major,FIFA block identical to Foundation variant — fake differentiation
chemistry/rates-equilibrium/calculating-rates,chemistry,triple,higher,quiz,5-tier-integrity,major,"Test Yourself identical to Foundation variant — same page, harder badge"
chemistry/rates-equilibrium/calculating-rates,chemistry,triple,higher,quiz,1-triple-depth,major,Test Yourself identical to Combined higher — no Triple-only depth questions (rule 1 asks for ≥2)
chemistry/rates-equilibrium/calculating-rates,chemistry,triple,higher,quiz,1-register,minor,0/2 stems use an AQA command word (AI review)
physics/atomic-structure/half-lives,physics,triple,higher,quiz,1-count,critical,2 questions — below absolute floor of 5
physics/atomic-structure/half-lives,physics,triple,higher,fifa,2-example-count,major,1 worked example(s) — minimum 3
physics/atomic-structure/half-lives,physics,triple,higher,fifa,2-practice-absent,major,no interactive practice mode (systemic: current template renders static steps only)
physics/atomic-structure/half-lives,physics,triple,higher,common_mistake,3-mistake-first,major,"first sentence states info, not a student mistake (AI review): ""After each half-life, the activity halves AGAIN from its current value — not from the orig"""
physics/atomic-structure/half-lives,physics,triple,higher,fifa,2-tier-duplication,major,FIFA block identical to Foundation variant — fake differentiation
physics/atomic-structure/half-lives,physics,triple,higher,quiz,5-tier-integrity,major,"Test Yourself identical to Foundation variant — same page, harder badge"
physics/atomic-structure/half-lives,physics,triple,higher,quiz,1-triple-depth,major,Test Yourself identical to Combined higher — no Triple-only depth questions (rule 1 asks for ≥2)
physics/atomic-structure/half-lives,physics,triple,higher,quiz,1-register,minor,0/2 stems use an AQA command word (AI review)
physics/atomic-structure/mass-number-isotopes,physics,triple,higher,quiz,1-count,critical,2 questions — below absolute floor of 5
physics/atomic-structure/mass-number-isotopes,physics,triple,higher,fifa,2-example-count,major,1 worked example(s) — minimum 3
physics/atomic-structure/mass-number-isotopes,physics,triple,higher,fifa,2-practice-absent,major,no interactive practice mode (systemic: current template renders static steps only)
physics/atomic-structure/mass-number-isotopes,physics,triple,higher,common_mistake,3-mistake-first,major,"first sentence states info, not a student mistake (AI review): ""Mass number is protons + NEUTRONS — not protons alone."""
physics/atomic-structure/mass-number-isotopes,physics,triple,higher,fifa,2-tier-duplication,major,FIFA block identical to Foundation variant — fake differentiation
physics/atomic-structure/mass-number-isotopes,physics,triple,higher,quiz,5-tier-integrity,major,"Test Yourself identical to Foundation variant — same page, harder badge"
physics/atomic-structure/mass-number-isotopes,physics,triple,higher,quiz,1-triple-depth,major,Test Yourself identical to Combined higher — no Triple-only depth questions (rule 1 asks for ≥2)
physics/atomic-structure/mass-number-isotopes,physics,triple,higher,quiz,1-register,minor,0/2 stems use an AQA command word (AI review)
physics/atomic-structure/nuclear-equations,physics,triple,higher,quiz,1-count,critical,2 questions — below absolute floor of 5
physics/atomic-structure/nuclear-equations,physics,triple,higher,fifa,2-example-count,major,1 worked example(s) — minimum 3
physics/atomic-structure/nuclear-equations,physics,triple,higher,fifa,2-practice-absent,major,no interactive practice mode (systemic: current template renders static steps only)
physics/atomic-structure/nuclear-equations,physics,triple,higher,common_mistake,3-mistake-first,major,"first sentence states info, not a student mistake (AI review): ""In beta decay, the MASS NUMBER stays the same — a neutron turns into a proton plus an elec"""
physics/atomic-structure/nuclear-equations,physics,triple,higher,fifa,2-tier-duplication,major,FIFA block identical to Foundation variant — fake differentiation
physics/atomic-structure/nuclear-equations,physics,triple,higher,quiz,5-tier-integrity,major,"Test Yourself identical to Foundation variant — same page, harder badge"
physics/atomic-structure/nuclear-equations,physics,triple,higher,quiz,1-triple-depth,major,Test Yourself identical to Combined higher — no Triple-only depth questions (rule 1 asks for ≥2)
physics/atomic-structure/nuclear-equations,physics,triple,higher,quiz,1-register,minor,0/2 stems use an AQA command word (AI review)
physics/electricity/current-resistance-pd,physics,triple,higher,quiz,1-count,critical,2 questions — below absolute floor of 5
physics/electricity/current-resistance-pd,physics,triple,higher,fifa,2-example-count,major,1 worked example(s) — minimum 3
physics/electricity/current-resistance-pd,physics,triple,higher,fifa,2-practice-absent,major,no interactive practice mode (systemic: current template renders static steps only)
physics/electricity/current-resistance-pd,physics,triple,higher,common_mistake,3-mistake-first,major,"first sentence states info, not a student mistake (AI review): ""R = V ÷ I, NOT V × I."""
physics/electricity/current-resistance-pd,physics,triple,higher,fifa,2-tier-duplication,major,FIFA block identical to Foundation variant — fake differentiation
physics/electricity/current-resistance-pd,physics,triple,higher,quiz,5-tier-integrity,major,"Test Yourself identical to Foundation variant — same page, harder badge"
physics/electricity/current-resistance-pd,physics,triple,higher,quiz,1-triple-depth,major,Test Yourself identical to Combined higher — no Triple-only depth questions (rule 1 asks for ≥2)
physics/electricity/current-resistance-pd,physics,triple,higher,quiz,1-register,minor,0/2 stems use an AQA command word (AI review)
physics/electricity/direct-alternating-pd,physics,triple,higher,quiz,1-count,critical,2 questions — below absolute floor of 5
physics/electricity/direct-alternating-pd,physics,triple,higher,fifa,2-example-count,major,1 worked example(s) — minimum 3
physics/electricity/direct-alternating-pd,physics,triple,higher,fifa,2-practice-absent,major,no interactive practice mode (systemic: current template renders static steps only)
physics/electricity/direct-alternating-pd,physics,triple,higher,common_mistake,3-mistake-first,major,"first sentence states info, not a student mistake (AI review): ""UK mains is 50 Hz — not 60 Hz (USA)."""
physics/electricity/direct-alternating-pd,physics,triple,higher,fifa,2-tier-duplication,major,FIFA block identical to Foundation variant — fake differentiation
physics/electricity/direct-alternating-pd,physics,triple,higher,quiz,5-tier-integrity,major,"Test Yourself identical to Foundation variant — same page, harder badge"
physics/electricity/direct-alternating-pd,physics,triple,higher,quiz,1-triple-depth,major,Test Yourself identical to Combined higher — no Triple-only depth questions (rule 1 asks for ≥2)
physics/electricity/direct-alternating-pd,physics,triple,higher,quiz,1-register,minor,0/2 stems use an AQA command word (AI review)
physics/electricity/electrical-charge-current,physics,triple,higher,quiz,1-count,critical,2 questions — below absolute floor of 5
physics/electricity/electrical-charge-current,physics,triple,higher,fifa,2-example-count,major,1 worked example(s) — minimum 3
physics/electricity/electrical-charge-current,physics,triple,higher,fifa,2-practice-absent,major,no interactive practice mode (systemic: current template renders static steps only)
physics/electricity/electrical-charge-current,physics,triple,higher,common_mistake,3-mistake-first,major,"first sentence states info, not a student mistake (AI review): ""Time must be in SECONDS when using Q = It."""
physics/electricity/electrical-charge-current,physics,triple,higher,fifa,2-tier-duplication,major,FIFA block identical to Foundation variant — fake differentiation
physics/electricity/electrical-charge-current,physics,triple,higher,quiz,5-tier-integrity,major,"Test Yourself identical to Foundation variant — same page, harder badge"
physics/electricity/electrical-charge-current,physics,triple,higher,quiz,1-triple-depth,major,Test Yourself identical to Combined higher — no Triple-only depth questions (rule 1 asks for ≥2)
physics/electricity/electrical-charge-current,physics,triple,higher,quiz,1-register,minor,0/2 stems use an AQA command word (AI review)
physics/electricity/energy-transfers-appliances,physics,triple,higher,quiz,1-count,critical,2 questions — below absolute floor of 5
physics/electricity/energy-transfers-appliances,physics,triple,higher,fifa,2-example-count,major,1 worked example(s) — minimum 3
physics/electricity/energy-transfers-appliances,physics,triple,higher,fifa,2-practice-absent,major,no interactive practice mode (systemic: current template renders static steps only)
physics/electricity/energy-transfers-appliances,physics,triple,higher,common_mistake,3-mistake-first,major,"first sentence states info, not a student mistake (AI review): ""For E = Pt in joules, time must be in SECONDS."""
physics/electricity/energy-transfers-appliances,physics,triple,higher,fifa,2-tier-duplication,major,FIFA block identical to Foundation variant — fake differentiation
physics/electricity/energy-transfers-appliances,physics,triple,higher,quiz,5-tier-integrity,major,"Test Yourself identical to Foundation variant — same page, harder badge"
physics/electricity/energy-transfers-appliances,physics,triple,higher,quiz,1-triple-depth,major,Test Yourself identical to Combined higher — no Triple-only depth questions (rule 1 asks for ≥2)
physics/electricity/energy-transfers-appliances,physics,triple,higher,quiz,1-register,minor,0/2 stems use an AQA command word (AI review)
physics/electricity/national-grid,physics,triple,higher,quiz,1-count,critical,2 questions — below absolute floor of 5
physics/electricity/national-grid,physics,triple,higher,fifa,2-example-count,major,1 worked example(s) — minimum 3
physics/electricity/national-grid,physics,triple,higher,fifa,2-practice-absent,major,no interactive practice mode (systemic: current template renders static steps only)
physics/electricity/national-grid,physics,triple,higher,common_mistake,3-mistake-first,major,"first sentence states info, not a student mistake (AI review): ""Transformers only work with AC — DC produces no output."""
physics/electricity/national-grid,physics,triple,higher,fifa,2-tier-duplication,major,FIFA block identical to Foundation variant — fake differentiation
physics/electricity/national-grid,physics,triple,higher,quiz,5-tier-integrity,major,"Test Yourself identical to Foundation variant — same page, harder badge"
physics/electricity/national-grid,physics,triple,higher,quiz,1-triple-depth,major,Test Yourself identical to Combined higher — no Triple-only depth questions (rule 1 asks for ≥2)
physics/electricity/national-grid,physics,triple,higher,quiz,1-register,minor,0/2 stems use an AQA command word (AI review)
physics/electricity/power-electricity,physics,triple,higher,quiz,1-count,critical,2 questions — below absolute floor of 5
physics/electricity/power-electricity,physics,triple,higher,fifa,2-example-count,major,1 worked example(s) — minimum 3
physics/electricity/power-electricity,physics,triple,higher,fifa,2-practice-absent,major,no interactive practice mode (systemic: current template renders static steps only)
physics/electricity/power-electricity,physics,triple,higher,common_mistake,3-mistake-first,major,"first sentence states info, not a student mistake (AI review): ""In P = I²R, CURRENT is squared, not resistance."""
physics/electricity/power-electricity,physics,triple,higher,fifa,2-tier-duplication,major,FIFA block identical to Foundation variant — fake differentiation
physics/electricity/power-electricity,physics,triple,higher,quiz,5-tier-integrity,major,"Test Yourself identical to Foundation variant — same page, harder badge"
physics/electricity/power-electricity,physics,triple,higher,quiz,1-triple-depth,major,Test Yourself identical to Combined higher — no Triple-only depth questions (rule 1 asks for ≥2)
physics/electricity/power-electricity,physics,triple,higher,quiz,1-register,minor,0/2 stems use an AQA command word (AI review)
physics/electricity/series-parallel-circuits,physics,triple,higher,quiz,1-count,critical,2 questions — below absolute floor of 5
physics/electricity/series-parallel-circuits,physics,triple,higher,fifa,2-example-count,major,1 worked example(s) — minimum 3
physics/electricity/series-parallel-circuits,physics,triple,higher,fifa,2-practice-absent,major,no interactive practice mode (systemic: current template renders static steps only)
physics/electricity/series-parallel-circuits,physics,triple,higher,common_mistake,3-mistake-first,major,"first sentence states info, not a student mistake (AI review): ""In PARALLEL, total resistance is LESS than any individual resistance — more branches = mor"""
physics/electricity/series-parallel-circuits,physics,triple,higher,fifa,2-tier-duplication,major,FIFA block identical to Foundation variant — fake differentiation
physics/electricity/series-parallel-circuits,physics,triple,higher,quiz,5-tier-integrity,major,"Test Yourself identical to Foundation variant — same page, harder badge"
physics/electricity/series-parallel-circuits,physics,triple,higher,quiz,1-triple-depth,major,Test Yourself identical to Combined higher — no Triple-only depth questions (rule 1 asks for ≥2)
physics/electricity/series-parallel-circuits,physics,triple,higher,quiz,1-register,minor,0/2 stems use an AQA command word (AI review)
physics/energy/changes-in-energy,physics,triple,higher,quiz,1-count,critical,2 questions — below absolute floor of 5
physics/energy/changes-in-energy,physics,triple,higher,fifa,2-example-count,major,2 worked example(s) — minimum 3
physics/energy/changes-in-energy,physics,triple,higher,fifa,2-practice-absent,major,no interactive practice mode (systemic: current template renders static steps only)
physics/energy/changes-in-energy,physics,triple,higher,common_mistake,3-mistake-first,major,"first sentence states info, not a student mistake (AI review): ""In Ek = ½mv², SQUARE THE SPEED FIRST before multiplying."""
physics/energy/changes-in-energy,physics,triple,higher,fifa,2-tier-duplication,major,FIFA block identical to Foundation variant — fake differentiation
physics/energy/changes-in-energy,physics,triple,higher,quiz,5-tier-integrity,major,"Test Yourself identical to Foundation variant — same page, harder badge"
physics/energy/changes-in-energy,physics,triple,higher,quiz,1-triple-depth,major,Test Yourself identical to Combined higher — no Triple-only depth questions (rule 1 asks for ≥2)
physics/energy/changes-in-energy,physics,triple,higher,quiz,1-register,minor,0/2 stems use an AQA command word (AI review)
physics/energy/efficiency,physics,triple,higher,quiz,1-count,critical,2 questions — below absolute floor of 5
physics/energy/efficiency,physics,triple,higher,fifa,2-example-count,major,1 worked example(s) — minimum 3
physics/energy/efficiency,physics,triple,higher,fifa,2-practice-absent,major,no interactive practice mode (systemic: current template renders static steps only)
physics/energy/efficiency,physics,triple,higher,common_mistake,3-mistake-first,major,"first sentence states info, not a student mistake (AI review): ""Efficiency = useful output ÷ TOTAL INPUT — not useful ÷ wasted."""
physics/energy/efficiency,physics,triple,higher,fifa,2-tier-duplication,major,FIFA block identical to Foundation variant — fake differentiation
physics/energy/efficiency,physics,triple,higher,quiz,5-tier-integrity,major,"Test Yourself identical to Foundation variant — same page, harder badge"
physics/energy/efficiency,physics,triple,higher,quiz,1-triple-depth,major,Test Yourself identical to Combined higher — no Triple-only depth questions (rule 1 asks for ≥2)
physics/energy/efficiency,physics,triple,higher,quiz,1-register,minor,0/2 stems use an AQA command word (AI review)
physics/energy/energy-changes-in-systems,physics,triple,higher,quiz,1-count,critical,2 questions — below absolute floor of 5
physics/energy/energy-changes-in-systems,physics,triple,higher,fifa,2-example-count,major,1 worked example(s) — minimum 3
physics/energy/energy-changes-in-systems,physics,triple,higher,fifa,2-practice-absent,major,no interactive practice mode (systemic: current template renders static steps only)
physics/energy/energy-changes-in-systems,physics,triple,higher,common_mistake,3-mistake-first,major,"first sentence states info, not a student mistake (AI review): ""Temperature change (Δθ) is final temperature MINUS initial temperature — not the final tem"""
physics/energy/energy-changes-in-systems,physics,triple,higher,fifa,2-tier-duplication,major,FIFA block identical to Foundation variant — fake differentiation
physics/energy/energy-changes-in-systems,physics,triple,higher,quiz,5-tier-integrity,major,"Test Yourself identical to Foundation variant — same page, harder badge"
physics/energy/energy-changes-in-systems,physics,triple,higher,quiz,1-triple-depth,major,Test Yourself identical to Combined higher — no Triple-only depth questions (rule 1 asks for ≥2)
physics/energy/energy-changes-in-systems,physics,triple,higher,quiz,1-register,minor,0/2 stems use an AQA command word (AI review)
physics/forces/acceleration,physics,triple,higher,quiz,1-count,critical,2 questions — below absolute floor of 5
physics/forces/acceleration,physics,triple,higher,fifa,2-example-count,major,1 worked example(s) — minimum 3
physics/forces/acceleration,physics,triple,higher,fifa,2-practice-absent,major,no interactive practice mode (systemic: current template renders static steps only)
physics/forces/acceleration,physics,triple,higher,common_mistake,3-mistake-first,major,"first sentence states info, not a student mistake (AI review): ""Gradient of a v–t graph = ACCELERATION (not distance or speed)."""
physics/forces/acceleration,physics,triple,higher,fifa,2-tier-duplication,major,FIFA block identical to Foundation variant — fake differentiation
physics/forces/acceleration,physics,triple,higher,quiz,5-tier-integrity,major,"Test Yourself identical to Foundation variant — same page, harder badge"
physics/forces/acceleration,physics,triple,higher,quiz,1-triple-depth,major,Test Yourself identical to Combined higher — no Triple-only depth questions (rule 1 asks for ≥2)
physics/forces/acceleration,physics,triple,higher,quiz,1-register,minor,0/2 stems use an AQA command word (AI review)
physics/forces/distance-speed-velocity,physics,triple,higher,quiz,1-count,critical,2 questions — below absolute floor of 5
physics/forces/distance-speed-velocity,physics,triple,higher,fifa,2-example-count,major,1 worked example(s) — minimum 3
